ACFU001,EDO002,EES008,ELT008,ESS005,LAL020,LMA018,LPR012,LUN012,LVE012,OCP013,ODE008,PFF012,SBB012,SMA025,SNV009,SST014,STE019
ACCU024,ACFU001,ACOO005,ECF019,EES008,ELT008,ESS005,LPR012,LUN012,OCP002,OCP013,ODE008,OSH009,PFF012,SBB012,SMA025,SNV009,STE019
ACFU001,EES008,ELT008,ESS005,LAL001,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,OSH009,PFF012,SBB012,SMA025,SME009,SNV009,STE019
ACFU001,ECF019,EES008,ELT008,ESS005,LAL020,LPR012,OCP002,OCP013,ODE008,ODE015,OSH009,OSH018,PFF006,SBB012,SMA025,SNV009,STE019
ACFU001,EES008,ELT008,ERO018,ESS005,LAL020,LCC001,LPR012,LUN012,OCP002,OCP013,ODE015,OMA029,PFF012,SBB012,SMA025,SNV009,STE019
ACFU001,ECF019,EES008,ESS005,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,SBB012,SMA025,SME010,SNB006,SNV009,SOD016,STE019,STR016
ACFU001,ECF019,EES008,ESS005,LAL020,LPR012,LUN012,OCP002,ODE008,OFI039,ORR005,SBB012,SMA025,SME010,SNB006,SNV009,SOD016,STE019
ACFU001,ECF019,ERO011,LDG011,LPR012,LUN012,MYSE001,OCP002,OCP013,ODE008,ODE015,PFF012,SBB012,SCV001,SMA025,SNV009,SPI010,STE019
ACAL023,ACFE038,ACFU001,ACMU010,ECF019,EES008,ESS005,LAL020,LPR012,LUN012,OCP013,ODE008,ODE015,PFF012,SBB012,SMA025,SNV009,STE019
ACCU024,ACFU001,ECF019,EES008,ELT008,ESS005,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,OSH009,PFF012,SMA025,SNV009,SNV033,STE019
ACFU001,ELT008,EMM011,ERO034,ESS005,LAL020,LPR012,LUN012,LVE012,OCP002,OCP013,ODE008,PFF012,SBB012,SCO028,SMA025,SNV009,STE019
ACFU001,EAM002,EES008,ELT008,ESS005,FLL002,LAL020,LCA014,LPR012,LUN012,LVE012,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,STE019
ACFU001,ECF019,EES008,ESS005,LPR012,LUN012,OCP002,ODE008,ORR005,PFF012,SBB012,SFO009,SMA025,SME010,SNB006,SNV009,SOD016,STE019
ACFU001,ECF019,EES008,ESS005,LAL020,LPR012,LUN012,OCP002,OCP013,OMA013,SAS020,SBB012,SMA025,SME010,SNB006,SNV009,SOD016,STE019
ACAL002,ACFU001,ECF019,EES008,ELT008,ESS005,LPL019,LPR012,LRE029,OCP002,OCP013,ODE008,OFI008,PFF012,SBB012,SMA025,STE019,SWA015
ACFU001,ACGM057,ECF019,EES008,EHC002,ELT008,LAL020,LDG013,LPR012,LUN012,OCP002,ODE008,ORR021,PFF012,SBB012,SMA025,SNV009,STE019
ACFU001,ACFU006,EES008,ELT008,ESS001,ESS005,FSC004,LAL020,LDG011,LPR012,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SNV009,STE019
ACFU001,ECF019,EES008,ELT008,ESS005,LAL020,LUN012,OCP002,OCP013,ODE008,ODE015,ORE013,OSH009,PFF006,SBB012,SMA025,SNV009,STE019
ACFU001,ECF019,EES008,ESS005,LAL020,LPR012,LUN012,OCP013,ODE008,OMA013,SBB012,SFN016,SMA025,SME010,SNB006,SNV009,SOD016,STE019
ACAZ004,ACFU001,ECF019,EES008,ELT008,ESS005,FSC003,LAL020,LBB005,LDG011,LPR012,OCP002,OCP013,PFF012,SBB012,SDD002,SMA025,SNV009
ACFU001,ECF019,EES008,ESS005,LAL020,LPR012,LUN012,OCP002,ODE008,OEV004,ORR005,PFF012,SBB012,SMA025,SNB006,SNV009,SOD016,STE019
ACFU001,ACMY001,ECF019,EES008,LAL020,LPR012,LUN012,OCP002,ODE008,ORR005,PFF012,SBB012,SMA025,SME010,SNB006,SNV009,SOD016,STE019
ACFU001,EEG002,EES008,ESS005,EWW015,LAL020,LMA018,LPR012,LUN012,LVE012,OCP002,OCP013,ODE008,PFF012,SBB012,SCO028,SMA025,STE019
ACFE028,ACFU001,ECF019,EES008,LAL020,LPR012,LUN012,OCP002,ODE008,ORR005,PFF012,SBB012,SMA025,SME010,SNB006,SNV009,SOD016,STE019
ACFU001,ACOO003,EES008,ELT008,ESS005,LAL020,LMA018,LPR012,LUN012,LVE012,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SNV009,STE019
ACFU001,ACGD015,ECF019,EES008,ELT008,ESS005,LAL020,LBB005,LDG011,LPR012,OCP002,OCP013,PFF012,SBB012,SDD002,SMA025,SNV009,STE019
ACFU001,ECF022,EES008,ELT008,LPR012,LUN012,LVE012,OCP002,OCP013,ODE008,ODE015,OMW003,PFF012,SBB012,SMA025,SNB018,SNV009,SST014
ACAL023,ACFU001,ACGM027,ECF019,EES008,ESS005,LPR012,LPR022,LUN012,OCP002,ODE008,ODE015,PFF012,SBB012,SMA025,SNV009,STE019,STE025
EES008,ELT008,ERO018,ESS005,LAL020,LBI006,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,SBB012,SGM019,SMA025,SMT006,SNV009,STE019
ACFU001,EES008,ELT008,ESS005,LAL020,LAM022,LMA018,LUN012,LVE012,OCP002,OCP013,ODE008,PAN017,PFF012,SBB012,SMA025,SNV009,SST014
ACFU001,ECF019,EES008,ELT008,LAL020,LDG011,LMA029,LPR012,OCP002,OCP013,ODE008,OFF015,OFI016,PFF012,SBB012,SIW018,SMA025,STE019
ACFU001,EES008,ELT008,ERO018,ESS005,ESS014,LAL020,LCC001,LPR012,LUN012,OCP002,OCP013,ODE015,PFF012,SBB012,SNV009,SST002,STE019
ACFU001,ACPP009,ECF019,EES008,ESS005,LAL020,LPR012,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SME010,SNB006,SNV009,SOD016,STE019
ACFU001,EES008,ELT008,ERO018,ESS005,LAL020,LMC007,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,PFF012,SBB012,SMA025,SST033,STE019
ECF019,EES008,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,OSH012,PFF012,PFF019,SBB012,SMA025,SME010,SNB006,SNV009,SOD016,STE019
ACFU001,EAG022,EES008,ELT008,ESS005,EWW033,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,ORR004,OWA021,PFF012,SBB012,SMA025,SNV009
