EEE015, EEE020, EHC005, LAL008, LBB004, LBU018, OCE004, OCP016, ORF004, PFF026, SCO003, SCO013, SFN002, SNV013, SOD031, SST020, STE018, STE021
ACAL025, ACWS012, EES009, FHI003, LAL008, LBB004, LBU028, OCE004, OCE009, OCP016, ODE002, ORF004, PFF026, SDD020, SEL012, SST020, STE003, STE021
EDO010, EEE020, EMM004, FHI003, LAL008, LBB004, LMA046, OCE004, OCP016, ORF004, SCO003, SCO013, SEL012, SEN013, SFN002, SST020, STE021, STR032
ACMO003, EEE020, EHC005, EWW007, FHI003, LAL008, LBU007, LMA046, OCP016, ORF004, PFF026, SCO003, SCO013, SEL012, SFN018, SST020, STE021, STR032
ACAM004, ACPH010, EEE020, EMM004, FHI003, LAL008, LBB004, LBU007, LMA046, OCE004, OCP016, ORF004, SCO003, SCO013, SFN002, SST020, STE021, STR032
EAG028, EEE020, EHC005, EWW007, FHI003, LAL008, LBU007, LMA046, OCP016, ORF004, PFF026, SCO003, SEL012, SFN002, SFN018, SST020, STE021, STR032
ACAL005, ACWS012, EEE020, FHI003, LAL008, LBB004, LBU033, LDG018, LUN027, MYSP002, OCE004, ODE002, ORF004, SCO003, SCO013, SCO017, SST020, STE021
ACFE017, EEE020, EHC005, FHI003, LAL008, LBB004, LMA046, OCE004, OCP016, ORF004, PFF026, SCO013, SFN002, SIW016, SNV013, SST020, STE021, SZO006
EDO011, EEE020, EHC005, EPP022, FHI003, LBB004, LBU007, LMA046, OCE004, ORF004, PFF026, SCO003, SCO013, SFN002, SIW002, SST020, STE021, STR032
ECF022, EHC005, FHI003, LAL008, LMA046, OCE004, OCP016, ORF004, PFF026, SCO003, SCO013, SEL012, SFN002, SFN018, SPI006, SST020, STE021, STR032
ACCU014, ACIM012, ACOO017, ACWS012, EEE020, FHI003, LAL008, LAL015, LBB004, LBI004, OBI028, OCP016, ORF004, PFF026, SCO003, SFR006, SNV013, SST020
ACFE020, ACGM042, ACNO034, ACWS015, EAG022, EDO016, EJP013, LAL022, LMA040, LMA056, LRE030, OCE018, OCP011, PIC014, PIC018, PLB005, SRR006, SST019
EEE020, FHI003, LAL008, LBB004, LMA046, OCE004, OCP016, PFF026, SCO003, SCO013, SFN002, SGM031, SME011, SNV013, SOD031, SST020, STE018, STE021
ACFE020, ACNO034, ACWS015, EAG022, EDO016, EES015, EJP013, LAL022, LMA056, LRE030, LUN027, OCE018, OCP011, OFI035, PAN010, PIC018, SRR006, SST019
EEE020, EHC005, EWW018, FHI003, LAL008, LBB004, LBU007, LMA046, LVE020, OCP016, ORF004, PFF026, SCO003, SCO013, SFN002, SIW002, SST020, STE021
ACAL005, ACWS012, EEE020, EPP029, FHI003, LAL008, LBU033, LUN027, OCE004, OCP016, ODE002, OMW018, ORF004, SCO003, SCO013, SCO017, SEL012, STE021
EEE015, EEE020, EHC005, FHI003, LAL008, LBB004, OCP016, OMW010, ORF004, PFF026, SCO003, SCO013, SFN002, SNV013, SOD031, SST020, STE018, STE021
ACEM001, EEE020, EHC005, FHI003, LAL008, LBB009, LMA046, LTT023, OCP016, ORF004, PFF026, SCO003, SCO013, SFN002, SNV013, STE018, STE021, STR032
EEE020, EWO009, FHI003, LAL008, LBI013, LCA005, OBI028, ODE002, ORF004, PCA016, PFF026, POM011, SCO013, SEL012, SIW001, SNV013, SSS031, STE021
ACAM004, EDO011, EEE020, EHC005, FHI003, LAL008, LBB004, LBU007, LMA046, ORF004, PFF026, SCO003, SCO013, SFN002, SIW002, SST020, STE021, STR032
ACPP005, ACWS012, EEE020, LAL008, LBB004, LMA018, LTT011, OBI002, ODE002, ORF004, PCA016, PFF026, SEL012, SIB006, SMA011, SSS030, SST020, STE021
ACCU013, ACFE034, EDO006, LAL008, LAL015, LBB004, OBI028, OCP016, ODE002, OMW011, PCA016, SCO003, SCO013, SDD003, SDD028, SEL012, SNV013, STE021
ACEM018, ACIM012, ACSP010, ACWS012, EEE020, LAL008, LAL015, LDG003, OBI028, ODE002, ORF004, OSH008, PCA016, PFF026, SCO003, SNV013, SST020, STE021
EEE020, EHC005, FHI003, LBB004, LBB009, LMA046, OCP016, ORF004, PFF026, SBB009, SCO003, SCO013, SFN002, SNV013, SST020, STE018, STE021, STR032
ACCU024, ACFE020, ACNO034, ACWS015, EAG022, EDO016, EES015, EJP013, LAL022, LMA056, LRE030, LUN027, OCE018, OCP011, OFI035, PIC014, PIC018, SRR006
EEE020, EHC005, FHI003, LAL008, LBB004, LBB009, LMA046, OCP016, ORF004, PFF017, SCO003, SCO013, SFN002, SNV013, SST020, STE018, STE021, STR032
ACAL005, ACWS012, EEE020, FHI003, LAL008, LBB004, LBU033, LUN027, OCE004, OCP016, ODE002, ORE014, ORF004, PHE004, SCO013, SEL012, SST020, STE021
EEE020, EHC005, FHI003, LAL008, LMA044, LMA046, OCE004, ORF004, PFF026, SCO003, SCO013, SFN002, SIW016, SNV013, SSS022, SST020, STE018, STE021
